Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,3.480000,3.590000,3.480000,3.590000,3.590000,700
2017-10-31,3.500000,3.540000,3.500000,3.520000,3.520000,3100
2017-11-01,3.530000,3.530000,3.530000,3.530000,3.530000,800
2017-11-02,3.540000,3.540000,3.520000,3.520000,3.520000,4600
2017-11-03,3.490000,3.520000,3.470000,3.520000,3.520000,700
2017-11-06,3.210000,3.240000,3.190000,3.190000,3.190000,2000
2017-11-07,3.140000,3.230000,3.140000,3.190000,3.190000,4800
2017-11-08,3.190000,3.190000,3.180000,3.180000,3.180000,1800
2017-11-09,3.180000,3.180000,3.130000,3.140000,3.140000,600
2017-11-10,3.150000,3.180000,3.150000,3.180000,3.180000,1600
2017-11-13,3.180000,3.180000,3.160000,3.160000,3.160000,11000
2017-11-14,3.140000,3.140000,3.090000,3.090000,3.090000,6500
2017-11-15,3.090000,3.090000,3.090000,3.090000,3.090000,0
2017-11-16,3.070000,3.070000,3.040000,3.060000,3.060000,10300
2017-11-17,3.070000,3.120000,3.050000,3.060000,3.060000,16400
2017-11-20,3.070000,3.070000,3.020000,3.030000,3.030000,10200
2017-11-21,3.040000,3.050000,3.020000,3.030000,3.030000,2500
2017-11-22,3.000000,3.000000,2.990000,3.000000,3.000000,14400
2017-11-24,3.030000,3.050000,3.030000,3.050000,3.050000,900
2017-11-27,2.980000,2.980000,2.950000,2.960000,2.960000,7900
2017-11-28,2.980000,2.990000,2.930000,2.930000,2.930000,3100
2017-11-29,2.940000,2.950000,2.930000,2.940000,2.940000,14700
2017-11-30,2.980000,2.980000,2.840000,2.840000,2.840000,19400
2017-12-01,2.910000,2.930000,2.900000,2.920000,2.920000,18700
2017-12-04,2.940000,2.940000,2.910000,2.920000,2.920000,5400
2017-12-05,2.980000,3.040000,2.980000,2.990000,2.990000,44400
2017-12-06,3.020000,3.070000,3.020000,3.070000,3.070000,52500
2017-12-07,3.010000,3.010000,2.980000,3.000000,3.000000,6500
2017-12-08,3.090000,3.110000,3.050000,3.050000,3.050000,5300
2017-12-11,3.070000,3.070000,3.060000,3.060000,3.060000,1200
2017-12-12,3.010000,3.110000,3.010000,3.100000,3.100000,4100
2017-12-13,3.040000,3.080000,3.040000,3.050000,3.050000,4800
2017-12-14,3.040000,3.100000,3.040000,3.060000,3.060000,8700
2017-12-15,3.070000,3.140000,3.070000,3.080000,3.080000,6500
