Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,9.852000,10.348000,9.816000,10.176000,10.176000,6320000
2017-10-31,9.740000,9.922000,9.720000,9.730000,9.730000,3025000
2017-11-01,9.604000,9.604000,9.484000,9.500000,9.500000,3067500
2017-11-02,9.468000,9.468000,9.380000,9.440000,9.440000,1386500
2017-11-03,9.460000,9.468000,9.390000,9.444000,9.444000,1942000
2017-11-06,9.368000,9.368000,9.320000,9.358000,9.358000,1740500
2017-11-07,9.420000,9.468000,9.372000,9.382000,9.382000,1985000
2017-11-08,9.540000,9.588000,9.520000,9.588000,9.588000,853500
2017-11-09,9.428000,9.444000,9.310000,9.360000,9.360000,2287000
2017-11-10,9.650000,9.776000,9.610000,9.686000,9.686000,2304000
2017-11-13,9.682000,9.754000,9.644000,9.734000,9.734000,1859500
2017-11-14,9.878000,9.960000,9.816000,9.880000,9.880000,2021500
2017-11-15,9.534000,9.592000,9.510000,9.546000,9.546000,1521000
2017-11-16,9.938000,9.976000,9.906000,9.956000,9.956000,1792000
2017-11-17,9.966000,9.976000,9.930000,9.930000,9.930000,1439500
2017-11-20,9.982000,10.036000,9.962000,10.012000,10.012000,686000
2017-11-21,9.990000,10.000000,9.942000,9.966000,9.966000,1117500
2017-11-22,10.080000,10.112000,10.038000,10.110000,10.110000,1406000
2017-11-24,10.432000,10.520000,10.432000,10.510000,10.510000,1936000
2017-11-27,10.682000,10.792000,10.682000,10.688000,10.688000,1778000
2017-11-28,10.620000,10.668000,10.572000,10.644000,10.644000,1886000
2017-11-29,10.426000,10.526000,10.150000,10.180000,10.180000,3575000
2017-11-30,10.102000,10.246000,10.102000,10.196000,10.196000,4340500
2017-12-01,10.052000,10.102000,9.976000,10.052000,10.052000,1960000
2017-12-04,9.866000,9.904000,9.620000,9.704000,9.704000,2405000
2017-12-05,9.526000,9.642000,9.474000,9.550000,9.550000,3567000
2017-12-06,9.574000,9.714000,9.560000,9.678000,9.678000,2423000
2017-12-07,9.880000,10.006000,9.850000,9.968000,9.968000,3362500
2017-12-08,9.656000,9.696000,9.636000,9.660000,9.660000,1173500
2017-12-11,9.718000,9.798000,9.718000,9.796000,9.796000,1691000
2017-12-12,9.714000,9.714000,9.570000,9.606000,9.606000,3519000
2017-12-13,9.660000,9.754000,9.660000,9.746000,9.746000,1013000
2017-12-14,9.560000,9.568000,9.520000,9.556000,9.556000,2180500
2017-12-15,9.600000,9.656000,9.560000,9.652000,9.652000,838000
2017-12-18,9.626000,9.626000,9.560000,9.588000,9.588000,909000
2017-12-19,9.516000,9.516000,9.410000,9.412000,9.412000,1108000
2017-12-20,9.336000,9.358000,9.234000,9.268000,9.268000,1033500
2017-12-21,9.330000,9.332000,9.270000,9.326000,9.326000,612500
2017-12-22,9.308000,9.374000,9.300000,9.336000,9.336000,619000
2017-12-26,9.128000,9.250000,9.128000,9.156000,9.156000,970500
2017-12-27,9.232000,9.362000,9.232000,9.280000,9.280000,1453000
2017-12-28,9.148000,9.148000,9.076000,9.080000,9.080000,1019500
2017-12-29,9.100000,9.140000,8.920000,9.014000,9.014000,2176000
2018-01-02,9.042000,9.190000,9.042000,9.180000,9.180000,1516000
2018-01-03,9.170000,9.390000,9.170000,9.388000,9.388000,1896000
2018-01-04,9.638000,9.710000,9.580000,9.708000,9.708000,1677000
2018-01-05,9.440000,9.486000,9.362000,9.486000,9.486000,1472000
2018-01-08,9.530000,9.530000,9.432000,9.514000,9.514000,753500
2018-01-09,9.610000,9.610000,9.530000,9.598000,9.598000,1805500
2018-01-10,9.800000,9.882000,9.780000,9.874000,9.874000,2180000
2018-01-11,9.942000,9.948000,9.878000,9.942000,9.942000,883000
2018-01-12,10.036000,10.100000,9.918000,10.080000,10.080000,1862500
2018-01-16,10.220000,10.220000,9.960000,9.996000,9.996000,2417000
2018-01-17,10.180000,10.350000,10.180000,10.306000,10.306000,3372500
2018-01-18,10.478000,10.560000,10.470000,10.538000,10.538000,3499500
2018-01-19,10.920000,10.950000,10.866000,10.940000,10.940000,3262000
2018-01-22,10.986000,11.002000,10.880000,10.966000,10.966000,1861500
2018-01-23,11.200000,11.214000,11.122000,11.180000,11.180000,3467500
2018-01-24,11.052000,11.122000,10.878000,11.014000,11.014000,3150500
2018-01-25,11.000000,11.052000,10.950000,10.964000,10.964000,2648000
2018-01-26,11.058000,11.202000,11.008000,11.202000,11.202000,1889000
2018-01-29,11.000000,11.018000,10.898000,10.946000,10.946000,1182500
2018-01-30,10.788000,10.800000,10.606000,10.676000,10.676000,2499000
2018-01-31,11.568000,11.690000,11.370000,11.416000,11.416000,9865500
2018-02-01,10.960000,11.048000,10.860000,11.030000,11.030000,3728000
2018-02-02,10.646000,10.704000,10.500000,10.504000,10.504000,2636000
2018-02-05,10.532000,10.674000,10.298000,10.298000,10.298000,2731000
2018-02-06,10.116000,10.508000,10.070000,10.490000,10.490000,3953500
2018-02-07,10.470000,10.488000,10.316000,10.330000,10.330000,2355000
2018-02-08,10.170000,10.170000,9.820000,9.860000,9.860000,3545500
2018-02-09,9.960000,10.050000,9.650000,10.048000,10.048000,2631000
2018-02-12,10.090000,10.310000,10.080000,10.250000,10.250000,2161000
2018-02-13,10.264000,10.376000,10.222000,10.358000,10.358000,1675500
2018-02-14,10.258000,10.564000,10.208000,10.564000,10.564000,1569000
2018-02-15,10.800000,10.840000,10.710000,10.810000,10.810000,1617500
2018-02-16,10.826000,10.864000,10.784000,10.830000,10.830000,1141000
2018-02-20,10.862000,10.994000,10.838000,10.850000,10.850000,2260500
2018-02-21,11.118000,11.160000,11.054000,11.062000,11.062000,2567000
2018-02-22,11.096000,11.110000,10.958000,11.040000,11.040000,1222500
2018-02-23,11.326000,11.390000,11.220000,11.382000,11.382000,1728000
2018-02-26,11.440000,11.480000,11.384000,11.480000,11.480000,978500
2018-02-27,11.490000,11.542000,11.366000,11.372000,11.372000,1387500
2018-02-28,11.444000,11.510000,11.380000,11.410000,11.410000,795000
2018-03-01,11.148000,11.292000,11.000000,11.060000,11.060000,1513500
2018-03-02,11.250000,11.492000,11.240000,11.488000,11.488000,1606000
2018-03-05,10.920000,11.106000,10.890000,11.096000,11.096000,1364000
2018-03-06,11.256000,11.304000,11.210000,11.304000,11.304000,856000
2018-03-07,11.004000,11.094000,10.920000,11.090000,11.090000,2398500
2018-03-08,11.400000,11.408000,11.302000,11.370000,11.370000,1260500
2018-03-09,11.330000,11.470000,11.316000,11.460000,11.460000,1327500
2018-03-12,11.384000,11.446000,11.294000,11.320000,11.320000,1931000
2018-03-13,11.490000,11.490000,11.268000,11.328000,11.328000,1091500
2018-03-14,11.420000,11.420000,11.296000,11.300000,11.300000,544500
2018-03-15,11.488000,11.592000,11.480000,11.580000,11.580000,2831500
2018-03-16,11.450000,11.590000,11.450000,11.542000,11.542000,668000
2018-03-19,11.310000,11.400000,11.260000,11.280000,11.280000,3057500
2018-03-20,11.264000,11.432000,11.264000,11.410000,11.410000,983000
2018-03-21,11.432000,11.464000,11.378000,11.404000,11.404000,895500
2018-03-22,11.556000,11.556000,11.292000,11.300000,11.300000,1306500
2018-03-23,11.322000,11.404000,11.236000,11.250000,11.250000,1197000
2018-03-26,11.256000,11.416000,11.206000,11.400000,11.400000,1302500
2018-03-27,11.312000,11.384000,11.024000,11.070000,11.070000,1840000
2018-03-28,10.950000,11.036000,10.842000,10.882000,10.882000,1386000
2018-03-29,10.980000,11.118000,10.942000,11.102000,11.102000,825500
